Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Mikael Granlund,31,C,69,12,48,134,4.4,55,granlmi01
William Eklund,21,LW,80,16,29,128,2.4,72,eklunwi01
Fabian Zetterlund,24,W,82,24,20,204,3.4,71,zettefa01
Tomáš Hertl,30,C,48,15,19,113,2.6,46,hertlto01
Anthony Duclair,28,LW,56,16,11,98,2.6,28,duclaan01
Filip Zadina,24,RW,72,13,10,137,0.7,28,zadinfi01
Mike Hoffman,34,C,66,10,13,71,1.3,27,hoffmmi02
Mario Ferraro,25,D,78,3,18,124,2.3,195,ferrama01
Jan Rutta,33,D,69,5,14,69,2.9,110,ruttaja02
Luke Kunin,26,C,77,11,7,98,0.2,60,kuninlu01
Justin Bailey,28,RW,59,5,9,70,0.5,29,baileju01
Nico Sturm,28,C,63,5,8,69,-0.3,39,sturmni01
Alexander Barabanov,29,F,46,4,9,67,-0.1,15,barabal01
Marc-Édouard Vlasic,36,D,57,6,6,72,1.2,108,vlasima01
Ryan Carpenter,33,C,62,5,7,58,0.2,31,carpery01
Calen Addison,23,D,60,1,11,75,0.3,79,addisca01
Thomas Bordeleau,22,C,27,6,5,48,0.5,19,bordeth01
Henry Thrun,22,D,51,3,8,48,1.3,71,thrunhe01
Klim Kostin,24,C,19,5,5,21,0.7,11,kostikl01
Ty Emberson,23,D,30,1,9,31,1.6,46,emberty01
Jacob MacDonald,30,D,34,7,2,49,1.2,17,macdoja02
Kevin Labanc,28,RW,46,2,7,60,-0.6,17,labanke01
Kyle Burroughs,28,D,73,2,6,79,0.1,134,burroky01
Nikita Okhotyuk,23,D,43,1,7,48,0.4,72,okhotni01
Givani Smith,25,RW,36,1,3,31,-0.3,12,smithgi01
Daniil Gushchin,21,LW,4,1,1,4,0.1,7,gushcda01
Matt Benning,29,D,14,0,2,13,0.2,29,bennima01
Collin Graf,21,F,7,0,2,7,-0.1,7,grafco01
Logan Couture,34,C,6,0,1,7,0.0,8,coutulo01
Kaapo Kähkönen,27,G,31,0,1,0,4.8,0,kahkoka01
Nikolai Knyzhov,25,D,10,0,1,6,-0.1,17,knyzhni01
Shakir Mukhamadullin,22,D,3,0,1,5,0.2,11,mukhash01
Mackenzie Blackwood,27,G,44,0,0,0,7.3,0,blackma01
Magnus Chrona,23,G,9,0,0,0,0.3,0,chronma01
Devin Cooley,26,G,6,0,0,0,0.4,0,coolede01
Oskar Lindblom,27,LW,1,0,0,0,-0.1,1,lindbos01
Jacob Peterson,24,C,6,0,0,3,-0.2,5,peterja01
Georgi Romanov,24,G,2,0,0,0,0.4,0,romange01
Scott Sabourin,31,F,3,0,0,3,0.0,1,sabousc01
Jack Studnicka,24,C,17,0,0,16,-0.8,10,studnja01
Jack Thompson,21,D,2,0,0,3,-0.1,3,thompja01
Jason Robertson,23,LW,82,46,63,313,13.9,19,roberja01
Jamie Benn,33,LW,82,33,45,190,9.5,38,bennja01
